title,date,youtube_id,slides,transcript,body
Annual Report to the SBOE,2016-04-14,,UI_Annual_Progress_Report_SBOE_April2016_FINAL.pdf,annual-report-2016_TRANSCRIPT.pdf,"<p><iframe src=""//e.issuu.com/embed.html#0/34995573"" width=""650"" height=""183"" frameborder=""0""></iframe> </p>
<p><a href=""/-/media/UIdaho-Responsive/Files/presidents-office/UIDAHO_JFAC_1-27-16_FINAL.pdf?la=en&amp;hash=91871F51A5473D4183241B176F98319ECCB5C670"">Download the transcript</a></p>"
Breakfast for Progress,2016-03-02,KrzyQmTKZEw,,,"<p><iframe src=""https://www.youtube.com/embed/KrzyQmTKZEw?rel=0&amp;showinfo=0"" allowfullscreen width=""560"" height=""315"" frameborder=""0""></iframe></p>"
Sun Belt Conference Presentation,2016-02-15,,,SBCPresentationIdahoIdahoFinal.pdf,"<p><iframe src=""//e.issuu.com/embed.html#1760657/33569496"" width=""650"" height=""183"" frameborder=""0""></iframe> </p>
<p><a href=""/-/media/UIdaho-Responsive/Files/presidents-office/SBCPresentationIdahoIdahoFinal.pdf?la=en&amp;hash=38126843E8E2C8AE3FB0476807134B31BC708B85"">Download the transcript</a></p>"
Breakfast for Progress,2016-02-08,vHcRIxOH-jw,,,"<p><iframe src=""https://www.youtube.com/embed/vHcRIxOH-jw?rel=0&amp;showinfo=0"" allowfullscreen width=""560"" height=""315"" frameborder=""0""></iframe></p>"
JFAC Presentation,2016-01-27,,UIDAHO_JFAC_1-27-16_FINAL.pdf,UIDAHO_JFAC_1-27-16_transcript.pdf,"<p><iframe src=""//e.issuu.com/embed.html#0/33523399"" width=""650"" height=""183"" frameborder=""0""></iframe> </p>
<p><a href=""/-/media/UIdaho-Responsive/Files/presidents-office/UIDAHO_JFAC_1-27-16_FINAL.pdf?la=en&amp;hash=91871F51A5473D4183241B176F98319ECCB5C670"">Download the transcript</a></p>"
Breakfast for Progress,2015-10-14,l91Fkk1VLig,,,"<p><iframe src=""https://www.youtube.com/embed/l91Fkk1VLig?rel=0&amp;showinfo=0"" width=""560"" height=""315"" frameborder=""0""></iframe></p>"
State of the University Address,2015-10-05,_LcNfkuJJ_4,,,"<p><iframe src=""https://www.youtube.com/embed/_LcNfkuJJ_4?rel=0&amp;showinfo=0"" allowfullscreen width=""560"" height=""315"" frameborder=""0""></iframe></p>"
President Staben’s Inauguration,2014-09-19,9pRlrJUNj9Q,,,"<p><iframe src=""https://www.youtube.com/embed/9pRlrJUNj9Q?rel=0&amp;showinfo=0"" width=""560"" height=""315"" frameborder=""0""></iframe></p>"
UI Progress Report to the SBOE,2014-04-17,tIRiClAdHp8,,,"<p><iframe src=""https://www.youtube.com/embed/tIRiClAdHp8?rel=0&amp;showinfo=0"" allowfullscreen width=""560"" height=""315"" frameborder=""0""></iframe></p>"
Breakfast for Progress,2014-03-31,xou036dVlvc,,,"<p><iframe src=""https://www.youtube.com/embed/xou036dVlvc?rel=0&amp;showinfo=0"" allowfullscreen width=""560"" height=""315"" frameborder=""0""></iframe></p>"
Welcome Address,2014-03-03,I21YJHj41os,,,"<p><iframe src=""https://www.youtube.com/embed/I21YJHj41os?rel=0&amp;showinfo=0"" allowfullscreen width=""560"" height=""315"" frameborder=""0""></iframe></p>"
Greetings From President Staben,2014-03-01,r6sjwYPbtjI,,,"<p><iframe src=""https://www.youtube.com/embed/r6sjwYPbtjI?rel=0&amp;showinfo=0"" allowfullscreen width=""560"" height=""315"" frameborder=""0""></iframe></p>"
Open Forum Presentation,2013-10-24,Z2JO5IH8jhM,,,"<p><iframe src=""https://www.youtube.com/embed/Z2JO5IH8jhM?rel=0&amp;showinfo=0"" allowfullscreen width=""560"" height=""315"" frameborder=""0""></iframe></p>"
