object-id,title,date,category,file_types,news_source,link,filename,youtube_id,slides,transcript,email,source,type,format
president_324,"University of Idaho Budget Open Forum | Nov. 7, 2019",2019-11-07,Presentations,video;slides,,,,UM3JvkEguEg,slides-for-budget-open-forum-110719_final.pdf,,,https://www.uidaho.edu/president/communications/presentations,"Image;MovingImage, Text","video/mp4; application/pdf"
president_325,"President C. Scott Green discusses the university’s budget situation | Oct. 30, 2019",2019-10-30,Presentations,video;slides,,,,AuaxIaoOJ_4,,,,https://www.uidaho.edu/president/communications/presentations,"Image;MovingImage","video/mp4"
president_326,"Go Vandals, Go! | Oct. 23, 2019",2019-10-23,Presentations,video;slides,,,,OHphixz-DXA,,,,https://www.uidaho.edu/president/communications/presentations,"Image;MovingImage","video/mp4"
president_327,"Come Home to Moscow - Homecoming Invite 2019 | Oct. 7, 2019",2019-10-07,Presentations,video;slides,,,,FgK70pO70y8,,,,https://www.uidaho.edu/president/communications/presentations,"Image;MovingImage","video/mp4"
president_328,"The Freshman President | Aug. 22, 2019",2019-08-22,Presentations,video;slides,,,,y2Vl7slQnUs,,,,https://www.uidaho.edu/president/communications/presentations,"Image;MovingImage","video/mp4"
president_329,"Richard Rock and President C. Scott Green speak at U of I’s Fall 2019 University Convocation | Aug. 22, 2019",2019-08-22,Presentations,video;slides,,,,3VWnXM87hdA,,,,https://www.uidaho.edu/president/communications/presentations,"Image;MovingImage","video/mp4"
president_330,"Welcome President C. Scott Green | July 1, 2019",2019-07-01,Presentations,video;slides,,,,nrPa4hcioN4,,,,https://www.uidaho.edu/president/communications/presentations,"Image;MovingImage","video/mp4"
president_331,"University of Idaho Announcement of C. Scott Green as President | April 18, 2019",2019-04-18,Presentations,video;slides,,,,tWolGIu3hDE,,,,https://www.uidaho.edu/president/communications/presentations,"Image;MovingImage","video/mp4"
